p0,T,waitingTime,tauAlphaEst,tauBlock,tauAlpha,crossed,n,idx
3.825,0.00687376,15081.0,2154.43,2154.43,1754.504917350312,1,4096,0
3.825,0.00687376,17235.0,2154.43,2154.43,1738.1297262318299,1,4096,0
3.825,0.00687376,19390.0,2154.43,2154.43,1716.2841114700425,1,4096,0
3.825,0.00687376,21544.0,2154.43,2154.43,1763.631285197052,1,4096,0
3.825,0.00687376,2154.0,2154.43,2154.43,1443.249848361761,1,4096,0
3.825,0.00687376,23699.0,2154.43,2154.43,1828.6642314498024,1,4096,0
3.825,0.00687376,25853.0,2154.43,2154.43,1744.347056778108,1,4096,0
3.825,0.00687376,28007.0,2154.43,2154.43,1900.4914871010012,1,4096,0
3.825,0.00687376,30162.0,2154.43,2154.43,1772.376675435186,1,4096,0
3.825,0.00687376,4309.0,2154.43,2154.43,1572.2874181015259,1,4096,0
3.825,0.00687376,6463.0,2154.43,2154.43,1177.2353010739778,1,4096,0
3.825,0.00687376,8618.0,2154.43,2154.43,1688.2830225293865,1,4096,0
3.825,0.0085038,0.0,1000.0,1000.0,912.4875509777446,1,4096,0
3.825,0.0085038,10000.0,1000.0,1000.0,978.7432703846847,1,4096,0
3.825,0.0085038,1000.0,1000.0,1000.0,835.2548257431876,1,4096,0
3.825,0.0085038,11000.0,1000.0,1000.0,852.8925256444679,1,4096,0
3.825,0.0085038,12000.0,1000.0,1000.0,970.6145401297117,1,4096,0
3.825,0.0085038,13000.0,1000.0,1000.0,1092.876115555186,1,4096,0
3.825,0.0085038,14000.0,1000.0,1000.0,903.1210025018465,1,4096,0
3.825,0.0085038,2000.0,1000.0,1000.0,917.693477549252,1,4096,0
3.825,0.0085038,3000.0,1000.0,1000.0,921.8613121394728,1,4096,0
3.825,0.0085038,4000.0,1000.0,1000.0,1035.8108521813115,1,4096,0
3.825,0.0085038,5000.0,1000.0,1000.0,824.1368692769287,1,4096,0
3.825,0.0085038,6000.0,1000.0,1000.0,997.7520266690277,1,4096,0
3.825,0.0085038,7000.0,1000.0,1000.0,796.8060034818864,1,4096,0
3.825,0.0085038,8000.0,1000.0,1000.0,947.3140407050072,1,4096,0
3.825,0.0085038,9000.0,1000.0,1000.0,977.4629400482434,1,4096,0
3.825,0.15936938,0.0,10.0,1000.0,1.8531102659299132,1,4096,0
3.825,0.15936938,10000.0,10.0,1000.0,1.8246454919081716,1,4096,0
3.825,0.15936938,1000.0,10.0,1000.0,2.1306379416906744,1,4096,0
3.825,0.15936938,11000.0,10.0,1000.0,2.0991332284641677,1,4096,0
3.825,0.15936938,12000.0,10.0,1000.0,1.755722813204406,1,4096,0
3.825,0.15936938,13000.0,10.0,1000.0,1.912612549305953,1,4096,0
3.825,0.15936938,14000.0,10.0,1000.0,1.8504241339972118,1,4096,0
3.825,0.15936938,2000.0,10.0,1000.0,2.046937624795621,1,4096,0
3.825,0.15936938,3000.0,10.0,1000.0,2.234699183428664,1,4096,0
3.825,0.15936938,4000.0,10.0,1000.0,1.8691861202423163,1,4096,0
3.825,0.15936938,5000.0,10.0,1000.0,8.98216105192817,1,4096,0
3.825,0.15936938,6000.0,10.0,1000.0,2.151492476266448,1,4096,0
3.825,0.15936938,7000.0,10.0,1000.0,1.8923805100051996,1,4096,0
3.825,0.15936938,8000.0,10.0,1000.0,1.9509456396984681,1,4096,0
3.825,0.15936938,9000.0,10.0,1000.0,1.945108118360595,1,4096,0
3.85,0.00338984,0.0,10000.0,10000.0,2160.168494650101,1,4096,0
